set FOODS := 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
;
set NUTRIENTS:= Calories Cholesterol Total_Fat Sodium Carbohydrates Dietary_Fiber Protein Vit_A Vit_C Calcium Iron;


param cost:=
1	7
2	18
3	2
4	53
5	6
6	31
7	78
8	27
9	24
10	15
11	32
12	49
13	15
14	5
15	6
16	9
17	16
18	3
19	5
20	25
21	16
22	28
23	34
24	32
25	82     
26	8
27	7
28	22
29	39
30	65;

param nut_req_min:=
Calories 2000
Cholesterol 0
Total_Fat 0
Sodium 0
Carbohydrates 130
Dietary_Fiber 25
Protein 50
Vit_A 5000
Vit_C 50
Calcium 800
Iron 10
;

param nut_req_max :=
Calories 2250
Cholesterol 300
Total_Fat 65
Sodium 2400
Carbohydrates 300
Dietary_Fiber 100
Protein 100
Vit_A 50000
Vit_C 20000
Calcium 1600
Iron 30
;

param nut_val : 	Calories	Cholesterol	Total_Fat	Sodium	Carbohydrates	Dietary_Fiber	Protein	Vit_A	Vit_C	Calcium	Iron :=
1	23.7	0	0.1	19.2	5.6	1.6	0.6	15471	5.1	14.9	0.3
2	72.2	0	0.6	2.5	17.1	2	2.5	106.6	5.2	3.3	0.3
3	2.6	0	0	1.8	0.4	0.3	0.2	66	0.8	3.8	0.1
4	20	0	0.1	1.5	4.8	1.3	0.7	467.7	66.1	6.7	0.3
5	171.5	0	0.2	15.2	39.9	3.2	3.7	0	15.6	22.7	4.3
6	88.2	0	5.5	8.1	2.2	1.4	9.4	98.6	0.1	121.8	6.2
7	358.2	0	12.3	1237.1	58.3	11.6	8.2	3055.2	27.9	80.2	2.3
8	25.8	0	0.4	11.1	5.7	1.4	1	766.3	23.5	6.2	0.6
9	81.4	0	0.5	0	21	3.7	0.3	73.1	7.9	9.7	0.2
10	104.9	0	0.5	1.1	26.7	2.7	1.2	92.3	10.4	6.8	0.4
11	15.1	0	0.1	0.5	4.1	0.2	0.2	24	1	3.4	0.1
12	46.4	0	0.3	3.8	11.3	2.6	0.8	133	74.5	19.8	0.3
13	61.6	0	0.2	0	15.4	3.1	1.2	268.6	69.7	52.4	0.1
14	65	0	1	134.5	12.4	1.3	2.2	0	0	10.8	0.7
15	65	0	1	132.5	11.8	1.1	2.3	0	0	26.2	0.8
16	81	0	3.3	68.9	12.4	0.6	1.1	2.9	0.1	6.7	0.5
17	67.2	0	3.1	75.4	9.6	0.5	0.5	35.2	0.9	3.1	0.1
18	78.1	5.1	4.5	57.8	9.3	0	0.9	101.8	0	6.2	0.4
19	35.8	10.9	4.1	41.3	0	0	0	152.9	0	1.2	0
20	112.7	29.4	9.3	173.7	0.4	0	7	296.5	0	202	0.2
21	149.9	33.2	8.1	119.6	11.4	0	8	307.4	2.3	291.3	0.1
22	110.5	0	0.1	290.5	24.5	0.7	2.3	1252.2	15.1	0.9	1.8
23	115.1	0	0.7	204.4	27.9	4	4	1250.2	0	12.9	16.8
24	112.2	0	0.2	340.8	24.8	0.4	1.9	1252.2	15.1	4	1.8
25	145.1	0	2.3	2.3	25.3	4	6.1	37.4	0	18.7	1.6
26	50	102.7	0	0.2	0.8	22.3	0.3	2.1	0	0	7.9
27	188.5	0	16	155.5	6.9	2.1	7.7	0	0	13.1	0.6
28	139.2	0	9.2	212.6	15	1.2	2.2	61.5	9.6	14.2	0.5
29	170.7	0	3.8	1744.4	33.2	1	4.1	1393	133	27.6	3.5
30	203.4	19.8	13.6	1076.3	15	0.5	6.1	153.8	2.2	178.6	0.6
